1,donnauli.donnauli
2,100069721502141
3,100078540712802
4,100075947730198
5,donita.ita.161
6,diamond.sitorus.7
7,rezah1997
8,dewi.nova.1441
9,defryindry.indry
10,dedi.doank.5243
11,bilqissila.bilqis.5
12,ayu.azari.961
13,al.r.pratama.750
14,yusdiana.manurung
15,100085334845884
16,zul.marpaung.77
17,100087409873573
18,sukimin.min.14019
19,100032030301691
20,100071735144971
21,sartine.enggel
22,100077764404055
23,safrijal.safrijal.71216
24,darwis.siahaan.524
25,evasusantihutapea.eva
26,100090154244067
27,darma.w.siregarr
28,dina.e.moet.1
29,darwinsitorus.bangtorus
30,100073290743866
31,sriono.ono.754
32,kakekazka.kakekazka
33,barlang.caffe
34,100079686950964
35,100053550765567
36,100070321208826
37,sanimen.sanimen.33
38,alinpane.alinpane
39,evahutapeya.eva
40,100045391128751
41,safrijal.rijal.3110
42,bang.napitupulu.10
43,100070367738996
44,100073953099870
45,jtk.jtk.7161
46,100070021790218
47,suefsuef.suefsuef
48,sriono.sriono.505523
49,sautsiahaan.sautsiahaan.96
50,siraja.parna.18
51,andro.a.syah.7
52,julhen.tan
53,100048960557089
54,ali.yono.1044186
55,100057299797461
56,jabrit.gobel
57,mozezprienbaster.mozezprienbaster
58,100069386964226
59,edseptian
60,100078196651009
61,100061686106392
62,100076227713024
63,kanou.puetrakaleem
64,ucpenakluk.ucpenakluk
65,suprianto.pane.3
66,100075991920504
67,100061995351508
68,irfann.mansurr
69,100070114785141
70,100090265117394
71,100073169845123
72,hendra.dedek.589
73,galumang.galumang
74,ferdi.zen.3
75,syamsidar.dedek.1
76,100007415798224
77,supri.sppinang
78,sarma.hasibuan.90
79,100072227381034
80,samsona.samsona.58
81,sahrial.sirait.94
82,100077094481200
83,100089517595679
84,tiara.afriza.716
85,100073312233911
86,100073372478412
87,100078011950694
88,100086645817243
89,100060689464268
90,yoko.youngkir
91,sundari.akilahsifanah
92,lika.yusnanda
93,bambang.putri.798
94,cuki.ahha
95,erdicandra.erdicandra
96,100076468218017
97,100006151848674
98,darmadi.chanigho
99,dandin.dandin.31924
100,bnn.benn.940
101,bembeng.ayamikha
102,arifin.y.gultom
103,apuokregar.apuokregar
104,100027229384880
105,100047019187609
106,alim.abr.5
